Date,Atlanta,Boston,Chicago,Cleveland,Dallas,Kansas,Minneapolis,New York,Philadelphia,Richmond,St. Louis,Total,San Francisco
2018-11-29,282752,81264,220171,121983,179257,60956,37490,2169908,97536,241571,61303,4097170,542979
2018-10-04,284266,84391,222468,123074,181044,62854,35195,2289856,101849,245463,59068,4174704,485176
2018-10-11,282716,86865,224053,122020,176957,63608,34961,2285951,100153,257675,59280,4176906,482667
2018-10-18,282730,81018,222152,126092,178670,62710,34876,2296742,99713,240503,59253,4175446,490988
2018-10-25,280308,82872,219363,125575,177900,60111,34711,2314872,98210,249805,58557,4173070,470787
2018-09-06,289321,81062,218702,124028,181993,60226,35732,2310303,99770,260001,59161,4208496,488196
2018-09-13,287172,80673,218757,124468,179210,59249,35473,2309546,99211,279249,59181,4210812,478624
2018-09-20,283480,82032,217559,120661,178849,59642,34975,2336237,101231,271117,58183,4208059,464092
2018-09-27,284047,76048,217441,123264,176401,59423,34896,2334877,101095,259368,57731,4192909,468319
2018-08-02,285088,85712,218669,124625,184747,60266,35079,2357626,103216,257773,58192,4255653,484660
2018-08-09,284881,81998,215702,122618,180590,60080,34581,2364573,102120,265161,58744,4258030,486984
2018-08-16,285557,93763,216192,124336,184084,60387,34989,2300524,103117,260716,58753,4228924,506504
2018-08-23,283282,84560,216292,123727,181113,60636,34896,2351837,101029,262710,57810,4228818,470925
2018-08-30,285013,78690,215089,121284,177721,58228,35170,2353826,100872,269149,57915,4218914,465957
2018-07-05,289086,97662,213039,124319,174461,63253,35143,2386278,104794,265405,57450,4289764,478874
2018-07-12,284749,86191,211959,122866,171816,59965,34875,2421123,104165,262434,56567,4291201,474491
2018-07-19,284207,87765,218037,119079,173966,59531,34546,2422562,104313,263569,55669,4291615,468372
2018-07-26,284965,83388,219572,123847,177639,61007,34823,2417621,101983,257375,56265,4277681,459198
2018-06-07,280663,91382,219438,118508,175487,60934,34942,2425729,104933,263065,57210,4319191,486900
2018-06-14,282971,83094,219750,120138,172902,61274,34791,2437529,102699,259095,56731,4324906,493931
2018-06-21,280516,82977,208312,120345,170598,63892,34277,2477287,103140,247152,55382,4315896,472018
2018-06-28,286178,92827,211308,122496,171226,63108,35240,2440370,103264,251247,55545,4305491,472679
2018-05-03,271021,82463,216416,120992,178068,64171,34969,2485021,105578,266312,56904,4356129,474213
2018-05-10,271233,82433,214109,122320,175442,65958,34607,2484351,106200,264742,56766,4358207,480045
2018-05-17,273827,83710,209799,122234,175812,64305,34898,2442189,108772,271855,57107,4337609,493101
2018-05-24,274964,82300,215046,123510,172599,62931,34554,2473206,105642,263683,55850,4337301,473016
2018-05-31,276038,86920,225603,124061,170485,60293,35885,2435900,104622,271413,56159,4327519,480138
2018-04-05,273284,90493,225471,129105,182995,72454,36775,2375969,112964,299861,60806,4386104,525928
2018-04-12,271486,90448,224233,131042,180958,71234,36535,2383194,112664,298556,60310,4383684,523023
2018-04-19,268411,88698,226740,120875,175474,68539,35915,2457438,110426,285139,58637,4385903,489611
2018-04-26,266126,84181,223204,122264,172957,64801,34819,2519007,104751,261419,56221,4372886,463136
2018-03-01,276323,90673,232457,125390,176519,67747,37075,2412612,114031,277054,59333,4393401,524188
2018-03-08,273933,86311,226706,126621,178816,69877,36393,2421748,114879,278322,59214,4396097,523279
2018-03-15,270356,83851,229910,128072,179671,69998,36884,2408667,115770,293609,59516,4407258,530954
2018-03-22,268424,81995,224848,124887,177457,70340,36248,2462168,115275,278143,59102,4401222,502335
2018-03-29,268305,99104,228167,125428,178182,69981,36406,2411785,114448,287169,59130,4392198,514092
2018-02-01,270860,86893,235963,119788,168467,66309,36631,2490526,107605,264436,57478,4419225,514270
2018-02-08,273076,86917,233176,120244,173728,68525,35638,2487646,108978,249978,57176,4420745,525663
2018-02-15,274349,84716,228591,121464,173147,68717,36194,2478029,109527,262766,57170,4434863,540193
2018-02-22,270129,79370,230023,120210,172556,70117,35889,2491899,108832,253852,56970,4411660,521812
2018-01-04,282477,94111,234826,132595,183604,73194,38062,2387607,116257,293007,60267,4443718,547712
2018-01-11,274128,90724,229503,125881,176955,69976,36464,2467615,111007,276052,58045,4446062,529712
2018-01-18,270761,92419,226651,118343,174883,68496,35332,2506102,108852,251513,57295,4439145,528497
